"Distribution_House","director","column8","column4","column3","column1","column7","column2"
"Columbia Pictures","Paul Greengrass","Action, Biography, Drama, Thriller ","","","","ComingSoon.net","Captain Phillips (film)|Captain Phillips"
"Open Road Films","Robert Rodriguez","Action ","","","","ComingSoon.net","Machete Kills"
"Relativity Media","Carlo Carlei","Drama ","","","","dailymail.co.uk","Romeo and Juliet (2013 film)|Romeo and Juliet"
"LD Entertainment","Christian E. Christiansen","Horror (genre)|Horror ","","","","ComingSoon.net","LD Entertainment"
"Fox Searchlight Pictures","Steve McQueen (artist)|Steve McQueen","Biography, Drama, History ","","","","ComingSoon.net","12 Years a Slave (film)|12 Years a Slave"
"Screen Gems / Metro-Goldwyn-Mayer|MGM","Kimberly Peirce","Drama film|Drama, Horror film|Horror ","","","Drama, Horror film|","ComingSoon.net","Carrie (2013 film)|Carrie"
"Summit Entertainment","Mikael Hafstrom","Action ","","","","ComingSoon.net","Escape Plan (film)|Escape Plan"
"Reverence Gospel Media Films","Steve Race","Drama ||<center><ref>{{cite web | url=http://www.comingsoon.net/films.php?id102950 | title=I'm In Love With a Church Girl | publisher=ComingSoon.net | accessdate=2013-07-15}}</ref></center>","","","","","I'm in Love with a Church Girl"
"Touchstone Pictures / DreamWorks Pictures","Bill Condon","Drama ","","","","ComingSoon.net","The Fifth Estate (film)|The Fifth Estate"
"Paramount Pictures / MTV Films","Jeff Tremaine","Comedy ","","","","ComingSoon.net","Jackass Presents: Bad Grandpa"
"20th Century Fox","Ridley Scott","Crime ","","","","ComingSoon.net","The Counselor"
"Focus Features","Jean-Marc Vallée","Drama film|Drama ||<center><ref>{{cite web | title=Dallas Buyers Club | publisher=ComingSoon.net | url=http://www.comingsoon.net/films.php?id=45705 | accessdate=2013-06-09}}</ref></center>","","","","","Dallas Buyers Club"
"Summit Entertainment","Gavin Hood","Action, Adventure, Sci-Fi ","","","","ComingSoon.net","Ender's Game (film)|Ender's Game"
"Relativity Media","Jimmy Hayward","Comedy, Family ","","","","ComingSoon.net","Free Birds"
"CBS Films","Jon Turteltaub","Comedy ","","","","ComingSoon.net","Last Vegas"
"Marvel Studios / Walt Disney Studios Motion Pictures","Alan Taylor","Action, Adventure, Sci-Fi, Fantasy ","","","","Boxofficemojo","Thor: The Dark World"
"Universal Studios|Universal Pictures","Malcolm D. Lee","Comedy ","","","","ComingSoon.net","The Best Man Holiday"
"20th Century Fox","Brian Percival","Drama film|Drama ","","","","ComingSoon.net|accessdate=17 September 2012}}</ref> ","The Book Thief (film)|The Book Thief"
"Paramount Pictures","Martin Scorsese","Crime, Drama (film)|Drama ","Crime, Drama (film)|","","","ComingSoon.net","The Wolf of Wall Street (2013 film)|The Wolf of Wall Street"
"Touchstone Pictures / DreamWorks Pictures","Ken Scott","Comedy ||<center><ref>{{cite web | title=The Delivery Man | publisher=ComingSoon.net | url=http://www.comingsoon.net/films.php?id=90015 | accessdate=2012-04-15}}</ref></center>","","","","","Delivery Man (film)|Delivery Man"
"Summit Entertainment / Paramount Pictures","Alexander Payne","Comedy ","","","","ComingSoon.net","Nebraska (film)|Nebraska"
"Lionsgate Films|Lionsgate","Francis Lawrence","Action, Adventure, Sci-Fi, Teen film|Teen ","","enture, Sci-Fi, Teen film|","Fi, Teen film|","ComingSoon.net","The Hunger Games: Catching Fire"
"Fox Searchlight Pictures","Kasi Lemmons","Drama, Musical ","","","","ComingSoon.net","Black Nativity (film)|Black Nativity"
"Walt Disney Pictures","Jennifer Lee","","","","","ComingSoon.net","Frozen (2013 film)|Frozen"
"The Weinstein Company","Olivier Dahan","Biography ","","","","ComingSoon.net","Grace of Monaco (film)|Grace of Monaco"
"Open Road Films","Gary Fleder","Action, Thriller ","","","","ComingSoon.net","Homefront (film)|Homefront"
"FilmDistrict","Spike Lee","Crime ","","","","ComingSoon.net","Oldboy (2013 film)|Oldboy"
"The Weinstein Company","Justin Chadwick","Drama film|Drama ","","","","ComingSoon.net","Mandela: Long Walk to Freedom"
"CBS Films","Joel Coen, Ethan Coen","Drama, Musical film|Musical ||<center><ref>{{cite web | title=Inside Llewyn Davis | publisher=ComingSoon.net | url=http://www.comingsoon.net/films.php?id=79004 | accessdate=2013-05-04}}</ref></center>","","","Drama, Musical film|","","Inside Llewyn Davis"
"Relativity Media","Scott Cooper","Crime ||<center><ref>{{cite web | title=Out of the Furnace | publisher=ComingSoon.net | url=http://www.comingsoon.net/films.php?id=43180 | accessdate=2013-04-12}}</ref></center>","","","","","Out of the Furnace"
"Lionsgate Films|Lionsgate","Tyler Perry","Comedy ||<center><ref>{{cite web | title=A Madea Christmas | publisher=ComingSoon.net | url=http://www.comingsoon.net/films.php?id=98529 | accessdate=2013-01-04}}</ref></center>","","","","","A Madea Christmas (film)|A Madea Christmas"
"Columbia Pictures","David O. Russell","Crime ||<center><ref>{{cite web |title=American Hustle | publisher=ComingSoon.net | url=http://www.comingsoon.net/films.php?id=88270| accessdate=2013-03-12}}</ref></center>","","","","","American Hustle (2013 film)|American Hustle"
"Walt Disney Pictures","John Lee Hancock","Drama ","","","","/Film|accessdate=13 June 2013|date=13 June 2013}}</ref>","Saving Mr. Banks"
"Warner Bros. / New Line Cinema / Metro-Goldwyn-Mayer|MGM","Peter Jackson","Adventure, Fantasy ","","","","ComingSoon.net","The Hobbit: The Desolation of Smaug"
"Warner Bros.","Spike Jonze","Drama film|Drama ||<center><ref>{{cite web | title=Her | publisher=ComingSoon.net | url=http://www.comingsoon.net/films.php?id=89621 | accessdate=2013-05-15}}</ref></center>","","","","","Her (film)|Her"
"Columbia Pictures / 20th Century Fox","George Clooney","War ","","","","ComingSoon.net","The Monuments Men (film)|The Monuments Men"
"Paramount Pictures","Adam McKay","Comedy ","","","","ComingSoon.net","Anchorman 2: The Legend Continues"
"Sony Pictures Classics","Bennett Miller","Drama ","","","","ComingSoon.net","Foxcatcher"
"20th Century Fox","Neil Nightengale, Pierre de Lespinois, Barry Cook","Family ","","","","ComingSoon.net","Walking with Dinosaurs (film)|Walking with Dinosaurs"
"Universal Studios|Universal Pictures","Carl Rinsch","Action, Adventure, Fantasy ","","","","ComingSoon.net","47 Ronin (2013 film)|47 Ronin"
"The Weinstein Company","John Wells (TV producer)|John Wells","Drama ","","","","ComingSoon.net","August: Osage County (film)|August: Osage County"
"Warner Bros.","Peter Segal","Comedy ","","","","ComingSoon.net","Grudge Match (film)|Grudge Match"
"Paramount Pictures / Skydance Productions","Kenneth Branagh","Action, Adventure ","","","","ComingSoon.net","Jack Ryan (film)|Jack Ryan"
"20th Century Fox / Samuel Goldwyn Films","Ben Stiller","Comedy, Fantasy ","","","","ComingSoon.net","The Secret Life of Walter Mitty (2013 film)|The Secret Life of Walter Mitty"
"Universal Studios|Universal Pictures","Peter Berg","Drama film|Drama, War ","","","","ComingSoon.net","Lone Survivor (film)|Lone Survivor"
"","","","","","","",""
